"CRESTLINE SPECIALTY — DE-IDENTIFIED LOSS RUN DETAIL  (as of Dec 31, 2023)"
Loss dates removed; policy and claim identifiers replaced; analytical fields preserved.
Program Year,Line,Claim ID,Policy No.,Claim Type,Indemnity Paid ($),ALAE Paid ($),Paid Losses ($),Case Res. Indemnity ($),Case Res. ALAE ($),Case Reserve ($),Incurred Losses ($),Status,Notes
2018,DF,CLM-000002,POL-000065,Fire,"$30,653","$4,180","$34,833",$0,$0,$0,"$34,833",Closed,
2018,DF,CLM-000003,POL-000085,Fire,"$23,124","$3,153","$26,277",$0,$0,$0,"$26,277",Closed,
2018,DF,CLM-000001,,Attritional,"$23,047","$3,143","$26,190",$0,$0,$0,"$26,190",Closed,Aggregate 19 claims <$25K
2018,HO,CLM-000019,POL-001225,Wind/Hail,"$51,563","$7,031","$58,594",$0,$0,$0,"$58,594",Closed,
2018,HO,CLM-000020,POL-001248,Fire,"$36,831","$5,022","$41,853",$0,$0,$0,"$41,853",Closed,
2018,HO,CLM-000021,POL-001222,Water Damage,"$20,871","$2,846","$23,717",$0,$0,$0,"$23,717",Closed,
2018,HO,CLM-000022,POL-001182,Wind/Hail,"$13,504","$1,842","$15,346",$0,$0,$0,"$15,346",Closed,
2018,HO,CLM-000001,,Attritional,"$52,615","$7,175","$59,790",$0,$0,$0,"$59,790",Closed,Aggregate 34 claims <$25K
2018,IM,CLM-000044,POL-003680,Equipment Loss,"$26,118","$3,562","$29,680",$0,$0,$0,"$29,680",Closed,
2018,IM,CLM-000001,,Attritional,"$11,194","$1,526","$12,720",$0,$0,$0,"$12,720",Closed,
2019,DF,CLM-000004,POL-000309,Water Damage,"$36,491","$4,976","$41,467",$0,$0,$0,"$41,467",Closed,
2019,DF,CLM-000005,POL-000331,Fire,"$27,528","$3,754","$31,282",$0,$0,$0,"$31,282",Closed,
2019,DF,CLM-000001,,Attritional,"$27,437","$3,741","$31,178",$0,$0,$0,"$31,178",Closed,Aggregate 26 claims <$25K
2019,HO,CLM-000023,POL-001849,Wind/Hail,"$58,065","$7,918","$65,983",$0,$0,$0,"$65,983",Closed,
2019,HO,CLM-000024,POL-001657,Fire,"$41,475","$5,656","$47,131",$0,$0,$0,"$47,131",Closed,
2019,HO,CLM-000025,POL-001610,Water Damage,"$23,502","$3,205","$26,707",$0,$0,$0,"$26,707",Closed,
2019,HO,CLM-000026,POL-001822,Fire,"$15,207","$2,074","$17,281",$0,$0,$0,"$17,281",Closed,
2019,HO,CLM-000001,,Attritional,"$59,250","$8,080","$67,330",$0,$0,$0,"$67,330",Closed,Aggregate 38 claims <$25K
2019,IM,CLM-000045,POL-003812,Equipment Loss,"$31,542","$4,301","$35,843",$0,$0,$0,"$35,843",Closed,
2019,IM,CLM-000001,,Attritional,"$13,518","$1,843","$15,361",$0,$0,$0,"$15,361",Closed,
2020,DF,CLM-000006,POL-000558,Fire,"$41,365","$5,641","$47,006",$0,$0,$0,"$47,006",Closed,
2020,DF,CLM-000007,POL-000517,Water Damage,"$31,206","$4,255","$35,461",$0,$0,$0,"$35,461",Closed,
2020,DF,CLM-000001,,Attritional,"$31,102","$4,241","$35,343",$0,$0,$0,"$35,343",Closed,Aggregate 29 claims <$25K
2020,HO,CLM-000027,POL-001975,Fire,"$54,677","$7,456","$62,133",$0,$0,$0,"$62,133",Closed,
2020,HO,CLM-000028,POL-002410,Wind/Hail,"$41,452","$5,652","$47,104","$7,315",$997,"$8,312","$55,416",Open,Reserve open — coverage dispute
2020,HO,CLM-000029,POL-002118,Water Damage,"$26,600","$3,627","$30,227",$0,$0,$0,"$30,227",Closed,
2020,HO,CLM-000030,POL-001989,Wind/Hail,"$17,732","$2,418","$20,150",$0,$0,$0,"$20,150",Closed,
2020,HO,CLM-000001,,Attritional,"$63,332","$8,636","$71,968",$0,$0,$0,"$71,968",Closed,Aggregate 41 claims <$25K
2020,IM,CLM-000046,POL-003889,Equipment Loss,"$36,708","$5,006","$41,714",$0,$0,$0,"$41,714",Closed,
2020,IM,CLM-000001,,Attritional,"$15,733","$2,145","$17,878",$0,$0,$0,"$17,878",Closed,
2021,DF,CLM-000008,POL-000651,Fire,"$36,479","$4,974","$41,453",$0,$0,$0,"$41,453",Closed,Pull-forward per Q4 claims review
2021,DF,CLM-000009,POL-000656,Fire,"$23,790","$3,244","$27,034",$0,$0,$0,"$27,034",Closed,
2021,DF,CLM-000010,POL-000738,Water Damage,"$19,033","$2,595","$21,628",$0,$0,$0,"$21,628",Closed,Q4 2021 claims review
2021,DF,CLM-000001,,Attritional,"$33,986","$4,635","$38,621",$0,$0,$0,"$38,621",Closed,Aggregate 48 claims <$25K
