CRESTLINE SPECIALTY INSURANCE MANAGERS — DE-IDENTIFIED POLICY BORDEREAUX
Names and transaction-level dates removed; policy identifiers replaced; analytical fields preserved.
Program Year,Policy No.,Program,Line,State,TIV ($),Written Prem ($),Collected Prem ($),Earned Prem ($),Unearned Prem ($),Deductible ($)
2018,POL-000001,Crestline Dwelling Fire Program,DF,GA,"$550,000","$1,204","$1,204","$1,204",$0,"$2,500"
2018,POL-000002,Crestline Dwelling Fire Program,DF,TX,"$240,000",$795,$795,$795,$0,"$1,000"
2018,POL-000003,Crestline Dwelling Fire Program,DF,CA,"$305,000",$961,$961,$961,$0,"$1,000"
2018,POL-000004,Crestline Dwelling Fire Program,DF,CA,"$405,000",$927,$927,$927,$0,"$1,000"
2018,POL-000005,Crestline Dwelling Fire Program,DF,NV,"$265,000","$1,269","$1,269","$1,269",$0,"$1,000"
2018,POL-000006,Crestline Dwelling Fire Program,DF,NV,"$185,000","$1,229","$1,229","$1,229",$0,"$5,000"
2018,POL-000007,Crestline Dwelling Fire Program,DF,AZ,"$245,000","$1,373","$1,373","$1,373",$0,"$1,000"
2018,POL-000008,Crestline Dwelling Fire Program,DF,TX,"$480,000",$836,$836,$836,$0,"$2,500"
2018,POL-000009,Crestline Dwelling Fire Program,DF,CA,"$380,000","$1,059","$1,059","$1,059",$0,"$1,000"
2018,POL-000010,Crestline Dwelling Fire Program,DF,CA,"$325,000",$798,$798,$798,$0,"$1,000"
2018,POL-000011,Crestline Dwelling Fire Program,DF,TX,"$575,000",$924,$924,$924,$0,"$5,000"
2018,POL-000012,Crestline Dwelling Fire Program,DF,TX,"$570,000","$1,115","$1,115","$1,115",$0,"$5,000"
2018,POL-000013,Crestline Dwelling Fire Program,DF,FL,"$195,000",$796,$796,$796,$0,"$2,500"
2018,POL-000014,Crestline Dwelling Fire Program,DF,TX,"$320,000",$910,$910,$910,$0,"$5,000"
2018,POL-000015,Crestline Dwelling Fire Program,DF,TX,"$395,000","$1,211","$1,211","$1,211",$0,"$1,000"
2018,POL-000016,Crestline Dwelling Fire Program,DF,CA,"$165,000","$1,141","$1,141","$1,141",$0,"$2,500"
2018,POL-000017,Crestline Dwelling Fire Program,DF,GA,"$530,000",$925,$925,$925,$0,"$5,000"
2018,POL-000018,Crestline Dwelling Fire Program,DF,FL,"$180,000","$1,171","$1,171","$1,171",$0,"$5,000"
2018,POL-000019,Crestline Dwelling Fire Program,DF,FL,"$430,000","$1,318","$1,318","$1,318",$0,"$2,500"
2018,POL-000020,Crestline Dwelling Fire Program,DF,CA,"$555,000",$782,$661,$782,$0,"$2,500"
2018,POL-000021,Crestline Dwelling Fire Program,DF,AZ,"$195,000","$1,315","$1,315","$1,315",$0,"$5,000"
2018,POL-000022,Crestline Dwelling Fire Program,DF,FL,"$225,000","$1,243","$1,243","$1,243",$0,"$2,500"
2018,POL-000023,Crestline Dwelling Fire Program,DF,TX,"$560,000","$1,005","$1,005","$1,005",$0,"$2,500"
2018,POL-000024,Crestline Dwelling Fire Program,DF,GA,"$160,000",$882,$882,$882,$0,"$1,000"
2018,POL-000025,Crestline Dwelling Fire Program,DF,TX,"$300,000","$1,416","$1,416","$1,416",$0,"$1,000"
2018,POL-000026,Crestline Dwelling Fire Program,DF,TX,"$310,000","$1,002",$869,"$1,002",$0,"$1,000"
2018,POL-000027,Crestline Dwelling Fire Program,DF,AZ,"$420,000",$840,$840,$840,$0,"$1,000"
2018,POL-000028,Crestline Dwelling Fire Program,DF,CA,"$280,000",$842,$842,$842,$0,"$1,000"
2018,POL-000029,Crestline Dwelling Fire Program,DF,AZ,"$550,000","$1,343","$1,343","$1,343",$0,"$2,500"
2018,POL-000030,Crestline Dwelling Fire Program,DF,TX,"$440,000","$1,180","$1,180","$1,180",$0,"$2,500"
2018,POL-000031,Crestline Dwelling Fire Program,DF,TX,"$415,000","$1,316","$1,316","$1,316",$0,"$2,500"
2018,POL-000032,Crestline Dwelling Fire Program,DF,CA,"$305,000","$1,264","$1,264","$1,264",$0,"$5,000"
2018,POL-000033,Crestline Dwelling Fire Program,DF,AZ,"$355,000","$1,135","$1,135","$1,135",$0,"$2,500"
2018,POL-000034,Crestline Dwelling Fire Program,DF,NV,"$360,000","$1,427","$1,427","$1,427",$0,"$5,000"
2018,POL-000035,Crestline Dwelling Fire Program,DF,CA,"$425,000","$1,030","$1,030","$1,030",$0,"$2,500"
2018,POL-000036,Crestline Dwelling Fire Program,DF,AZ,"$460,000","$1,146",$979,"$1,146",$0,"$2,500"
2018,POL-000037,Crestline Dwelling Fire Program,DF,FL,"$390,000","$1,331","$1,331","$1,331",$0,"$5,000"
2018,POL-000038,Crestline Dwelling Fire Program,DF,TX,"$570,000","$1,190","$1,190","$1,190",$0,"$5,000"
2018,POL-000039,Crestline Dwelling Fire Program,DF,CA,"$155,000","$1,352","$1,352","$1,352",$0,"$1,000"
2018,POL-000040,Crestline Dwelling Fire Program,DF,TX,"$355,000","$1,163","$1,163","$1,163",$0,"$5,000"
2018,POL-000041,Crestline Dwelling Fire Program,DF,FL,"$270,000","$1,248","$1,248","$1,248",$0,"$5,000"
2018,POL-000042,Crestline Dwelling Fire Program,DF,TX,"$365,000",$808,$808,$808,$0,"$1,000"
2018,POL-000043,Crestline Dwelling Fire Program,DF,TX,"$430,000",$930,$930,$930,$0,"$1,000"
2018,POL-000044,Crestline Dwelling Fire Program,DF,AZ,"$420,000",$971,$971,$971,$0,"$2,500"
2018,POL-000045,Crestline Dwelling Fire Program,DF,FL,"$375,000",$831,$831,$831,$0,"$5,000"
2018,POL-000046,Crestline Dwelling Fire Program,DF,TX,"$270,000",$933,$933,$933,$0,"$5,000"
2018,POL-000047,Crestline Dwelling Fire Program,DF,CA,"$370,000",$845,$699,$845,$0,"$5,000"
2018,POL-000048,Crestline Dwelling Fire Program,DF,CA,"$310,000",$963,$963,$963,$0,"$1,000"
2018,POL-000049,Crestline Dwelling Fire Program,DF,TX,"$220,000","$1,202","$1,035","$1,202",$0,"$1,000"
2018,POL-000050,Crestline Dwelling Fire Program,DF,NV,"$385,000","$1,021",$845,"$1,021",$0,"$1,000"
2018,POL-000051,Crestline Dwelling Fire Program,DF,CA,"$545,000","$1,025","$1,025","$1,025",$0,"$5,000"
2018,POL-000052,Crestline Dwelling Fire Program,DF,NV,"$295,000",$918,$918,$918,$0,"$2,500"
2018,POL-000053,Crestline Dwelling Fire Program,DF,TX,"$255,000",$956,$956,$956,$0,"$2,500"
2018,POL-000054,Crestline Dwelling Fire Program,DF,NV,"$490,000","$1,402","$1,402","$1,402",$0,"$5,000"
2018,POL-000055,Crestline Dwelling Fire Program,DF,CA,"$465,000","$1,210","$1,210","$1,210",$0,"$2,500"
2018,POL-000056,Crestline Dwelling Fire Program,DF,NV,"$475,000","$1,184","$1,184","$1,184",$0,"$1,000"
2018,POL-000057,Crestline Dwelling Fire Program,DF,AZ,"$340,000",$892,$892,$892,$0,"$1,000"
2018,POL-000058,Crestline Dwelling Fire Program,DF,TX,"$340,000","$1,264","$1,264","$1,264",$0,"$2,500"
2018,POL-000059,Crestline Dwelling Fire Program,DF,CA,"$150,000",$887,$887,$887,$0,"$2,500"
2018,POL-000060,Crestline Dwelling Fire Program,DF,CA,"$480,000","$1,031","$1,031","$1,031",$0,"$1,000"
2018,POL-000061,Crestline Dwelling Fire Program,DF,TX,"$220,000","$1,438","$1,438","$1,438",$0,"$1,000"
2018,POL-000062,Crestline Dwelling Fire Program,DF,GA,"$255,000","$1,205","$1,205","$1,205",$0,"$5,000"
2018,POL-000063,Crestline Dwelling Fire Program,DF,CA,"$460,000","$1,149","$1,149","$1,149",$0,"$1,000"
2018,POL-000064,Crestline Dwelling Fire Program,DF,NV,"$440,000","$1,234","$1,146","$1,234",$0,"$2,500"
2018,POL-000065,Crestline Dwelling Fire Program,DF,TX,"$500,000","$1,340","$1,340","$1,340",$0,"$1,000"
2018,POL-000066,Crestline Dwelling Fire Program,DF,CA,"$455,000","$1,295","$1,295","$1,295",$0,"$5,000"
2018,POL-000067,Crestline Dwelling Fire Program,DF,CA,"$335,000",$931,$931,$931,$0,"$5,000"
2018,POL-000068,Crestline Dwelling Fire Program,DF,GA,"$570,000",$799,$799,$799,$0,"$1,000"
2018,POL-000069,Crestline Dwelling Fire Program,DF,NV,"$220,000",$988,$988,$988,$0,"$1,000"
2018,POL-000070,Crestline Dwelling Fire Program,DF,GA,"$565,000",$956,$956,$956,$0,"$2,500"
2018,POL-000071,Crestline Dwelling Fire Program,DF,CA,"$270,000",$919,$919,$919,$0,"$2,500"
2018,POL-000072,Crestline Dwelling Fire Program,DF,NV,"$460,000","$1,407","$1,277","$1,407",$0,"$2,500"
2018,POL-000073,Crestline Dwelling Fire Program,DF,TX,"$395,000","$1,362","$1,362","$1,362",$0,"$2,500"
2018,POL-000074,Crestline Dwelling Fire Program,DF,TX,"$510,000",$988,$988,$988,$0,"$5,000"
2018,POL-000075,Crestline Dwelling Fire Program,DF,NV,"$265,000","$1,215","$1,215","$1,215",$0,"$2,500"
2018,POL-000076,Crestline Dwelling Fire Program,DF,GA,"$390,000","$1,042","$1,042","$1,042",$0,"$2,500"
2018,POL-000077,Crestline Dwelling Fire Program,DF,TX,"$350,000","$1,388","$1,388","$1,388",$0,"$2,500"
2018,POL-000078,Crestline Dwelling Fire Program,DF,AZ,"$430,000","$1,084","$1,084","$1,084",$0,"$2,500"
2018,POL-000079,Crestline Dwelling Fire Program,DF,GA,"$510,000",$954,$954,$954,$0,"$2,500"
2018,POL-000080,Crestline Dwelling Fire Program,DF,TX,"$520,000",$942,$942,$942,$0,"$2,500"
2018,POL-000081,Crestline Dwelling Fire Program,DF,GA,"$255,000","$1,152","$1,152","$1,152",$0,"$2,500"
2018,POL-000082,Crestline Dwelling Fire Program,DF,TX,"$575,000",$953,$953,$953,$0,"$2,500"
2018,POL-000083,Crestline Dwelling Fire Program,DF,FL,"$145,000","$1,168","$1,168","$1,168",$0,"$2,500"
2018,POL-000084,Crestline Dwelling Fire Program,DF,GA,"$205,000","$1,377","$1,377","$1,377",$0,"$1,000"
2018,POL-000085,Crestline Dwelling Fire Program,DF,GA,"$390,000","$1,044","$1,044","$1,044",$0,"$2,500"
2018,POL-000086,Crestline Dwelling Fire Program,DF,CA,"$200,000",$924,$924,$924,$0,"$2,500"
2018,POL-000087,Crestline Dwelling Fire Program,DF,TX,"$220,000","$1,443","$1,443","$1,443",$0,"$1,000"
2018,POL-000088,Crestline Dwelling Fire Program,DF,TX,"$455,000","$1,118","$1,118","$1,118",$0,"$5,000"
2018,POL-000089,Crestline Dwelling Fire Program,DF,NV,"$450,000",$838,$838,$838,$0,"$2,500"
2018,POL-000090,Crestline Dwelling Fire Program,DF,CA,"$530,000",$809,$809,$809,$0,"$1,000"
2018,POL-000091,Crestline Dwelling Fire Program,DF,FL,"$185,000",$851,$851,$851,$0,"$1,000"
2018,POL-000092,Crestline Dwelling Fire Program,DF,NV,"$140,000","$1,196","$1,196","$1,196",$0,"$2,500"
2018,POL-000093,Crestline Dwelling Fire Program,DF,TX,"$155,000","$1,306","$1,306","$1,306",$0,"$2,500"
2018,POL-000094,Crestline Dwelling Fire Program,DF,TX,"$500,000","$1,059","$1,059","$1,059",$0,"$2,500"
2018,POL-000095,Crestline Dwelling Fire Program,DF,TX,"$200,000",$820,$820,$820,$0,"$5,000"
2018,POL-000096,Crestline Dwelling Fire Program,DF,FL,"$170,000","$1,032","$1,032","$1,032",$0,"$2,500"
2018,POL-000097,Crestline Dwelling Fire Program,DF,GA,"$205,000","$1,442","$1,442","$1,442",$0,"$5,000"
2018,POL-000098,Crestline Dwelling Fire Program,DF,GA,"$400,000","$1,131","$1,131","$1,131",$0,"$2,500"
2018,POL-000099,Crestline Dwelling Fire Program,DF,AZ,"$525,000","$1,425","$1,425","$1,425",$0,"$5,000"
2018,POL-000100,Crestline Dwelling Fire Program,DF,CA,"$495,000","$1,352","$1,352","$1,352",$0,"$5,000"
2018,POL-000101,Crestline Dwelling Fire Program,DF,FL,"$535,000",$786,$786,$786,$0,"$2,500"
2018,POL-000102,Crestline Dwelling Fire Program,DF,NV,"$235,000","$1,258","$1,258","$1,258",$0,"$5,000"
2018,POL-000103,Crestline Dwelling Fire Program,DF,AZ,"$355,000","$1,232","$1,232","$1,232",$0,"$2,500"
2018,POL-000104,Crestline Dwelling Fire Program,DF,GA,"$355,000","$1,136","$1,136","$1,136",$0,"$2,500"
2018,POL-000105,Crestline Dwelling Fire Program,DF,AZ,"$185,000",$956,$956,$956,$0,"$2,500"
