CRESTLINE SPECIALTY INSURANCE MANAGERS — AGGREGATE PROGRAM SUMMARY
Aggregate year-and-line results; no person-level identifiers.
Program Year,Line,Policy Count,Written Prem ($),Earned Prem ($),Unearned Prem ($),Reported Losses ($),Loss Ratio,Notes
2018,HO,412,"$453,200","$453,200",$0,"$199,300",44.0%,
2018,DF,187,"$205,700","$205,700",$0,"$87,300",42.4%,
2018,IM,89,"$115,700","$115,700",$0,"$42,400",36.6%,
2019,HO,438,"$501,072","$501,072",$0,"$224,432",44.8%,
2019,DF,201,"$227,733","$227,733",$0,"$103,927",45.6%,
2019,IM,94,"$124,644","$124,644",$0,"$51,204",41.1%,
2020,HO,461,"$542,597","$542,597",$0,"$239,894",44.2%,
2020,DF,218,"$251,790","$251,790",$0,"$117,810",46.8%,
2020,IM,102,"$137,904","$137,904",$0,"$59,592",43.2%,
2021,HO,389,"$479,248","$479,248",$0,"$380,800",79.5%,See loss run for detail
2021,DF,164,"$194,832","$194,832",$0,"$128,736",66.1%,See loss run for detail
2021,IM,201,"$276,978","$276,978",$0,"$112,360",40.6%,
2022,HO,401,"$480,799","$480,799",$0,"$201,977",42.0%,
2022,DF,171,"$180,576","$180,576","$26,100","$69,696",38.6%,
2022,IM,218,"$306,072","$306,072",$0,"$122,688",40.1%,
2023,HO,418,"$487,388","$250,649","$236,739","$154,230",61.5%,Partial year
2023,DF,182,"$186,186","$98,039","$88,147","$57,102",58.2%,Partial year
2023,IM,231,"$330,330","$171,540","$158,790","$98,230",57.3%,Partial year
